gimbap,317.68,6.48,0.5,833.29,40.49,2.75,0.06,200
kimch gimbap,344.97,6.51,1.86,1145.54,74.18,1.58,0.05,250
beef gimbap,400.61,9.62,0.84,1061.19,93.08,2.52,0.11,250
tuna gimbap,424.06,12.68,0.6,1108.41,97.82,3.91,0.18,250
cheese gimbap,425,12.75,0.5,1108.4,97.82,4,0.25,250
bulgogi,669.3,16.16,4.39,1499.14,66.5,4.57,0.45,500
unagi,716.54,22.98,5.59,920.76,234.56,5.18,0.23,400
sushi,683.02,16.56,10.92,744.27,88.65,2.9,0.12,500
fried rice,773.3,27.5,0.86,1203.19,161.18,12.79,0.29,400
kimch fried rice,754.74,20.28,4.28,1791.99,152.55,7.1,0.17,500
shrimp fried rice,700.02,19.66,1.2,1395.06,149.36,3.96,0.07,400
omlet rice,729.97,21.56,10.35,1483.37,206.32,5.8,0.08,450
bibimbap,706.62,18.62,25.66,1337.1,111.13,3.84,0.12,500
glass noodle,884.66,18.76,2.76,1908.24,22.21,9.67,0.29,650
black soybean,741.66,22.28,5.37,1560.38,26.44,8.56,0.16,500
curry rice,672,12.66,4.97,1089.16,6.98,3.68,0.08,500
salmon,510.19,15.4,8.47,1211.9,61.97,2.83,0.1,300
muffin,560.71,28.23,39.5,407.17,71.21,5.24,0.13,130
bagle,335.48,1.2,8.43,556,1.62,0.79,0.04,120
chease cake,329.14,20.63,15.28,200.67,126.78,10.98,0.61,100
